Country,Population,Region,Year,State,City,Urban_Population,Rural_Population,Growth_Rate,Literacy_Rate,Density_per_km2,Birth_Rate,Death_Rate
India,10199436,Northeast,2006,Bihar,Delhi,2442377,59917,1.14,67.02,886,22.4,12.19
India,9609015,Northeast,2019,UP,Bangalore,5116981,2468514,1.31,64.9,792,28.32,14.44
India,818976,North,2014,Tamil Nadu,Bangalore,7086464,9500567,1.69,75.35,418,24.17,13.07
India,15664708,West,2010,Maharashtra,Pune,3221268,9648528,2.72,77.38,1193,18.41,7.29
India,4681004,East,2007,Bihar,Pune,9463918,2661307,0.62,88.66,387,27.34,12.01
India,1293517,Central,2020,Karnataka,Pune,2465122,6735871,2.94,86.68,86,10.85,10.6
India,6195779,Northeast,2006,Tamil Nadu,Pune,6129487,8018083,2.77,71.49,137,10.2,7.77
India,9071507,South,2018,Rajasthan,Chennai,8461193,3540458,2,73.47,209,15.01,13.66
India,4042852,Northeast,2022,Gujarat,Delhi,816931,1859160,1.7,80.18,722,12.55,12.8
India,15532856,East,2010,Gujarat,Pune,4163634,4284366,0.84,79.31,121,15.4,6.28
India,8356946,Northeast,2010,Karnataka,Chennai,3813456,9406750,1.37,90.17,222,16.11,10.7
India,11293499,South,2023,UP,Kolkata,8477801,5349057,0.83,76.54,704,19.11,12.68
India,19964574,West,2020,Gujarat,Hyderabad,461557,6059648,2.96,91.27,728,22.21,6.61
India,14995225,Northeast,2003,Bihar,Pune,8887892,2453162,,67.18,1105,17.05,14.92
India,4592709,Central,2007,Gujarat,Delhi,5113565,5226156,,90.37,796,29.34,11.05
India,14453194,West,2023,Rajasthan,Bangalore,361632,7089893,,70.65,409,20.83,13.62
India,1812204,South,2002,Rajasthan,Mumbai,8045578,8967108,2.07,87.62,1471,27.52,10.46
India,10498244,North,2021,Bihar,Kolkata,9434799,6584204,2.76,79.79,1087,26.05,8.09
India,3430795,Northeast,2020,Gujarat,Bangalore,6121751,1555441,2.8,90.64,1380,10.96,13.35
India,8126693,West,2001,Karnataka,Delhi,5104339,3142444,1.14,68.09,411,19.43,9.47
India,4581536,Northeast,2023,Karnataka,Delhi,2954278,5875303,3.49,84.55,67,26.13,10.83
India,5473666,Central,2011,Gujarat,Kolkata,768322,4403022,2.21,89.71,773,28.13,10.76
India,13975553,Northeast,2005,Rajasthan,Delhi,2347245,2377628,1.5,87.18,1097,22.66,5.59
India,7196423,West,2001,UP,Delhi,4332131,9006016,1.68,79.81,833,28.64,8.39
India,2328569,East,2020,Maharashtra,Pune,678280,5485257,0.87,83.64,188,23.27,8.34
India,6582134,West,2000,Rajasthan,Hyderabad,7786670,7666950,1.98,66.88,967,14.17,5.44
India,393275,South,2011,Gujarat,Mumbai,766603,9111358,2.76,67.58,100,21.17,6.05
India,9509247,West,2021,Rajasthan,Pune,7288079,3866311,1.73,69.36,725,25.12,10.71
India,12049288,Central,2011,Rajasthan,Bangalore,5516530,4382454,3.1,88.98,500,23.33,8.22
India,6168225,West,2024,Tamil Nadu,Hyderabad,9054317,1106579,,65.86,63,11.67,10.02
India,18052835,West,2016,Maharashtra,Kolkata,8012794,8777391,3.2,70.46,1054,14.74,9.83
India,10546324,Central,2009,Rajasthan,Chennai,5823747,3185731,2.61,92.22,812,23.76,11.54
India,10847629,,2015,Gujarat,Delhi,4147478,4531979,,86.43,1412,20.57,13.5
India,2253092,Central,2014,Rajasthan,Kolkata,7196060,284031,0.7,85.66,1171,10.62,7.27
India,19510741,South,,Bihar,Bangalore,3245701,7634932,2.9,75.93,941,24.77,8.62
India,13822265,,2018,Tamil Nadu,Chennai,8656117,86863,1.57,84.58,1310,11.59,10.57
India,10073943,South,2011,UP,Mumbai,2964138,1745932,1.07,79.8,243,13.7,12.41
India,506195,South,2022,Maharashtra,Bangalore,7408547,5904686,,62.5,414,28.09,8.83
India,4562276,,2019,Maharashtra,Kolkata,1320153,1257959,,80.18,937,16.3,7.65
India,1589998,West,2024,Tamil Nadu,Hyderabad,2652359,8054190,2.93,75.83,587,10.69,11.75
India,10119479,Northeast,,UP,Pune,6394457,7284404,2.68,63.99,638,10.35,11.64
India,14246710,East,,Rajasthan,Chennai,3221654,9668703,0.5,72.05,1092,28.71,12.57
India,5023198,Northeast,2018,Gujarat,Bangalore,4030071,8855090,0.82,91.32,1151,17.45,9.98
India,10388036,Central,2006,UP,Pune,5259929,3293596,2.51,88.13,1371,22.42,5.75
India,10186496,,,Gujarat,Pune,6863361,6801613,,91.99,1179,18.28,10.89
India,1578362,South,2008,Maharashtra,Pune,9650786,8570949,,85.1,1034,14.27,8.14
India,9811976,North,2006,Rajasthan,Hyderabad,7305029,7538169,2.72,82.14,828,27.55,14.98
India,16100729,East,2017,Gujarat,Delhi,4348577,5686091,,64.87,724,28.99,10.81
India,15439102,Northeast,,Maharashtra,Bangalore,177735,3177702,2.48,63.75,731,29.76,9.42
India,14816396,West,2024,,Pune,1192535,9355283,1.91,68.64,403,10.83,12.62
India,17708253,,2013,Tamil Nadu,Delhi,3537127,9825442,0.58,71,857,11.01,14.78
India,11839876,North,2017,Rajasthan,Pune,6721346,66818,2.41,81.25,53,27.16,9.93
India,8693155,North,2008,UP,Chennai,7752345,2141070,2.86,90.71,481,13.52,8.31
India,13429659,North,2020,,Kolkata,3845645,9831372,0.97,91.18,914,21.23,9.81
India,19195619,Northeast,2001,Tamil Nadu,Chennai,8891548,5546159,,83.88,1467,21.6,11.94
India,10001940,Central,2019,Gujarat,Chennai,233835,5725409,1.04,80.09,734,23.24,11.73
India,11115829,East,2014,Karnataka,,2099357,4507525,1.77,68.55,136,10.75,12.45
India,12529210,Central,2006,Tamil Nadu,Delhi,8753585,2752055,2.08,92.83,408,16.17,11.2
India,4700215,North,2011,Maharashtra,Pune,8167287,4431825,,83.49,125,20.28,14.54
